retweet_count,reply_count,like_count,quote_count,id,Date,Followers,Status text,WC,Clout,Cognition,Affect,tentat,Drives,insight,cause,discrep,certitude
0,1,1,0,S1438213588544409600,15-09-2021,5164,"World Tourism Day,  Tourism for inclusive growth

In conjunction with World Tourism Day, Assam Tourism plans to kickstart the tourism revival in the State post Covid. https://t.co/NkfCTmvdwt",31,40.06,3.23,3.23,0,3.23,3.23,0,0,0
0,1,1,0,S1438437895270846464,16-09-2021,5164,"In tune with this year's World Tourism Day theme ""Tourism for Inclusive Growth"" a five day workshop on capacity building was organised for the first time. by the Directorate of Tourism, Assam for the Jeep Safari drivers at Kaziranga. https://t.co/fvBkNuCAB1",44,40.06,0,2.27,0,0,0,0,0,0
0,1,1,0,S1439558164936941574,19-09-2021,5164,"Kakoijana reserved forest is loca near Abhayapuri in Bongaigaon district of Assam. This forest was constituted in 1966 as a reserved forest. 

It is famous for consisting 60 endangered Golden Langurs. https://t.co/2tMRyGqtjf",36,40.06,0,5.56,0,2.78,0,0,0,0
0,1,3,0,S1439920409801945089,20-09-2021,5164,"In your next visit to Kaziranga National Park, try to extend your stay for a trip to Karbi Villages nearby. The Karbis have been residing there for ages and these villages are said to be repositories of unique culture with roots in animism. https://t.co/KRAgjz6nBR",48,90.6,4.17,2.08,0,2.08,0,0,2.08,0
0,1,1,0,S1440221445011898371,21-09-2021,5164,"Ketetong is a Singpho tribal village located on the banks of the Buri Dehing River near Margherita in Tinsukia District. In Singpho language, Ket means 'brick' and Tong means 'scattered'. https://t.co/OZcCB8Yieu",35,57.11,5.71,2.86,0,2.86,5.71,0,0,0
0,1,0,0,S1440567732177551360,22-09-2021,5164,"The World Rhino Day - a dedicated day celebrated to preserve the most majestic beast one horned rhinoceros which is usually found in the renowned ""Kaziranga National Park"" in  Assam. https://t.co/OYPnK5QlZa",34,24.36,8.82,8.82,2.94,5.88,2.94,0,0,0
0,1,1,0,S1440992732256751618,23-09-2021,5164,"On the occasion of __orld Tourism Day_ Directorate of Tourism, Assam organized an __nline painting competition_.  The competitors were divided into three groups  and the winners are: https://t.co/C7xGcyLzeC",32,58.66,3.13,6.25,0,9.38,3.13,0,0,0
0,0,0,0,S1441767965649604617,25-09-2021,5164,"Get set for a cycle ride to Pobitora on the occasion of World Tourism Day. Hope to see you all tomorrow.

#awesomeassam #assamtourism #worldtourismday #WorldTourismDay2021 https://t.co/Yuo57N8hbh",30,77.41,6.67,10,3.33,0,0,0,3.33,0
0,1,1,0,S1442004694541299712,26-09-2021,5164,"On the auspicious occasion of World Tourism Day the Cycle Ride to Pobitora took place at 6 AM, today. It was organised by the Directorate of Tourism and the event was led by Ms. Madhumita Bhagawati, Director of Tourism. https://t.co/oY3twyAz5p",44,66.75,2.27,2.27,0,4.55,0,2.27,0,0
0,0,1,0,S1442356552472559620,27-09-2021,5164,"Happy World Tourism Day! We are all set to celebrate the day with pompous and glory . See you all soon!

#awesomeassam #worldtourismday #assamtourism #WorldTourismDay2021 https://t.co/DQAoeYifWe",29,96.58,6.9,17.24,0,10.34,0,0,0,0
0,1,0,0,S1442902373517565953,28-09-2021,5164,"Hon__le Chief Minister, Dr. Himanta Biswa Sarma graced the occasion of World Tourism Day by his presence, organized by the Directorate of Tourism held at Srimanta Sankardev Kalakshetra International Auditorium.

@himantabiswa https://t.co/B58WdOfW9r",37,56.18,2.7,2.7,0,8.11,2.7,0,0,0
0,1,0,0,S1442905020089790469,28-09-2021,5164,"On the occasion of World Tourism Day 2021 our Hon__le Chief Minister Dr. Himanta Biswa Sarma announced a scheme by the Tourism Department for the Tour Operators and Tour Guides as a relief for pandemic losses.
@himantabiswa https://t.co/k0eNHQp5i2",43,67.32,0,6.98,0,6.98,0,0,0,0
0,1,0,0,S1443117179843452928,29-09-2021,5164,"Hon'ble Minister of Tourism, Shri Bimal Borah at the innaugural ceremony of World Tourism Day organized by the Directorate of Tourism, Assam. Held at Srimanta Sankardev International Auditorium, Panjabari Guwahati. https://t.co/byxGvWZe3S",36,40.06,2.78,2.78,0,5.56,2.78,0,0,0
0,1,0,0,S1443178107368734723,29-09-2021,5164,"Srimanta Sankardev Kalakshetra, Guwahati all dolled up for the occasion of World Tourism Day 2021.

#awesomeassam #assamtourism #worldtourismday #WorldTourismDay2021 https://t.co/pszuwjBpCD",24,40.06,4.17,8.33,0,0,0,0,0,0
0,1,0,0,S1443454217062993925,30-09-2021,5164,"Assam Government will re-open Kaziranga National Park &amp; Tiger Reserve from 1st of October, 2021 for all tourists. The state has been trying to resume normal economic activities in the state as the Covid-19 cases have fallen in the state.

@kaziranga_ https://t.co/5PMKeBLlnO",46,40.06,4.35,2.17,0,2.17,0,0,2.17,0
0,1,0,0,S1443498935025213448,30-09-2021,5164,"Speech by Hon'ble Chief Minister, Dr. Himanta Biswa Sarma on the occasion of World Tourism Day, held at Srimanta Sankardev Kalakshetra by the Directorate of Tourism, GoA.

Click on the link below to watch the full video:
 https://t.co/RDpDoPH4fi

@himantabiswa",44,40.06,0,2.27,0,6.82,0,0,0,0
0,1,1,0,S1443839453802360849,01-10-2021,5164,"__parup Assam_ a book on the lesser known destinations of Assam, published by the Director of Tourism Ms. Madhumita Bhagawati, was released on the occasion of World Tourism Day by Hon__le Chief Minister of Assam, https://t.co/vXWh6ajKFK",41,68.54,2.44,2.44,0,7.32,2.44,0,0,0
0,0,0,0,S1444192099813920772,02-10-2021,5164,"__n a gentle way, you can shake the world._ - Mahatma Gandhi

Happy Gandhi Jayanti to everyone!
.
#gandhijayanti #mahatmagandhi #assamtourism #awesomeassam https://t.co/0zU3bOUX6a",25,94.01,8,16,0,0,0,0,4,0
0,1,0,0,S1444913980686811142,04-10-2021,5164,"Food, Handloom and handicraft exhibition on the occasion of World Tourism Day, organized by the Directorate of Tourism, GoA.

#assamtourism #awesomeassam #WorldTourismDay #worldtourismday2021 https://t.co/mafPI4aVqH",28,40.06,3.57,7.14,0,0,3.57,0,0,0
0,0,1,0,S1444916132855484417,04-10-2021,5164,"Welcome address by Ms. Madhumita Bhagawati, Director of Tourism,GoA, on the occasion of World Tourism Day.

#assamtourism #awesomeassam #WorldTourismDay #worldtourismday21 

Click on the link below to watch the full video:

https://t.co/yt1IC9l1mV",36,72.07,0,8.33,0,5.56,0,0,0,0
0,1,0,0,S1444939793339609090,04-10-2021,5164,"Presentations by the stakeholders of the tourism industry and tour operators from the state and across the country, at the seminar on __ssam as ideal tourist destination_ held on the occasion of World Tourism Day 2021 organized by the Directorate of Tourism, GoA. https://t.co/QsK5nwpgwG",48,40.06,4.17,2.08,0,2.08,2.08,0,2.08,0
0,1,0,0,S1444940127692754944,04-10-2021,5164,"Presentations by the stakeholders of the tourism industry and tour operators from the state and across the country, at the seminar on __ssam as ideal tourist destination_ held on the occasion of World Tourism Day 2021 organized by the Directorate of Tourism, GoA. https://t.co/tGLhLrhe1s",48,40.06,4.17,2.08,0,2.08,2.08,0,2.08,0
0,1,0,0,S1444968313621127169,04-10-2021,5164,"Tourism stakeholders such as TOAA, HRAA, ADTOI (NE), IATO (NE) chapter etc. were felicitated at the award ceremony for the contribution towards tourism sector. https://t.co/vLV6O0Bvd7",29,40.06,0,6.9,0,3.45,0,0,0,0
0,0,1,0,S1444974320933957633,04-10-2021,5164,"Ms. Anuradha Sharma Pujari renowned literaturist of Assam, gave a speech on the development of tourism sector in the State on the occasion of World Tourism Day.
.
#assamtourism #awesomeassam #worldtourismday #worldtourismday2021 https://t.co/DIPoIpMyRV",36,56.63,0,8.33,0,2.78,0,0,0,0
0,1,0,0,S1447083635694178308,10-10-2021,5164,"Kaziranga National Park &amp; Manas National Park are now open for tourists.

#assamtourism #awesomeassam 
#KazirangaNationalPark #manasnationalpark https://t.co/NC1A9DWhTC",21,40.06,0,9.52,0,0,0,0,0,0
0,1,3,0,S1447486480142663682,11-10-2021,5164,"Directorate of Tourism, Assam wishes you and your family a very Happy Durga Puja.

May Goddess Durga bless you with happiness and good health.
.
#assamtourism #awesomeassam #durgapuja #HAPPYDURGAPUJA2021 https://t.co/BVOL7H16S0",33,99,6.06,21.21,3.03,3.03,0,0,3.03,0
0,0,0,0,S1453251163395137548,27-10-2021,5164,"The Burhapahar Range, Bandardubi Tourist Road, Bagori Range of Kaziranga National Park and Tiger Reserves reopens from 27th of October, 2021.
.
#assamtourism #KazirangaNationalPark #reopens 
.
@kaziranga_ https://t.co/KZSJF0pKHt",30,40.06,0,3.33,0,0,0,0,0,0
